ARR,DEP,REG,CHEFLIEU,TNCC,NCC,NCCENR,LIBELLE
011,01,84,01034,0,BELLEY,Belley,Belley
012,01,84,01053,0,BOURG EN BRESSE,Bourg-en-Bresse,Bourg-en-Bresse
013,01,84,01173,0,GEX,Gex,Gex
014,01,84,01269,0,NANTUA,Nantua,Nantua
021,02,32,02168,0,CHATEAU THIERRY,Château-Thierry,Château-Thierry
022,02,32,02408,0,LAON,Laon,Laon
023,02,32,02691,0,SAINT QUENTIN,Saint-Quentin,Saint-Quentin
024,02,32,02722,0,SOISSONS,Soissons,Soissons
025,02,32,02789,0,VERVINS,Vervins,Vervins
031,03,84,03185,0,MONTLUCON,Montluçon,Montluçon
032,03,84,03190,0,MOULINS,Moulins,Moulins
033,03,84,03310,0,VICHY,Vichy,Vichy
041,04,93,04019,0,BARCELONNETTE,Barcelonnette,Barcelonnette
042,04,93,04039,0,CASTELLANE,Castellane,Castellane
043,04,93,04070,0,DIGNE LES BAINS,Digne-les-Bains,Digne-les-Bains
044,04,93,04088,0,FORCALQUIER,Forcalquier,Forcalquier
051,05,93,05023,0,BRIANCON,Briançon,Briançon
052,05,93,05061,0,GAP,Gap,Gap
061,06,93,06069,0,GRASSE,Grasse,Grasse
062,06,93,06088,0,NICE,Nice,Nice
071,07,84,07132,0,LARGENTIERE,Largentière,Largentière
072,07,84,07186,0,PRIVAS,Privas,Privas
073,07,84,07324,0,TOURNON SUR RHONE,Tournon-sur-Rhône,Tournon-sur-Rhône
081,08,44,08105,0,CHARLEVILLE MEZIERES,Charleville-Mézières,Charleville-Mézières
082,08,44,08362,0,RETHEL,Rethel,Rethel
083,08,44,08409,0,SEDAN,Sedan,Sedan
084,08,44,08490,0,VOUZIERS,Vouziers,Vouziers
091,09,76,09122,0,FOIX,Foix,Foix
092,09,76,09225,0,PAMIERS,Pamiers,Pamiers
093,09,76,09261,0,SAINT GIRONS,Saint-Girons,Saint-Girons
101,10,44,10033,0,BAR SUR AUBE,Bar-sur-Aube,Bar-sur-Aube
102,10,44,10268,0,NOGENT SUR SEINE,Nogent-sur-Seine,Nogent-sur-Seine
103,10,44,10387,0,TROYES,Troyes,Troyes
111,11,76,11069,0,CARCASSONNE,Carcassonne,Carcassonne
112,11,76,11206,0,LIMOUX,Limoux,Limoux
113,11,76,11262,0,NARBONNE,Narbonne,Narbonne
121,12,76,12145,0,MILLAU,Millau,Millau
122,12,76,12202,0,RODEZ,Rodez,Rodez
123,12,76,12300,0,VILLEFRANCHE DE ROUERGUE,Villefranche-de-Rouergue,Villefranche-de-Rouergue
131,13,93,13001,1,AIX EN PROVENCE,Aix-en-Provence,Aix-en-Provence
132,13,93,13004,1,ARLES,Arles,Arles
133,13,93,13055,0,MARSEILLE,Marseille,Marseille
134,13,93,13047,1,ISTRES,Istres,Istres
141,14,28,14047,0,BAYEUX,Bayeux,Bayeux
142,14,28,14118,0,CAEN,Caen,Caen
143,14,28,14366,0,LISIEUX,Lisieux,Lisieux
144,14,28,14762,0,VIRE,Vire,Vire
151,15,84,15014,1,AURILLAC,Aurillac,Aurillac
152,15,84,15120,0,MAURIAC,Mauriac,Mauriac
153,15,84,15187,0,SAINT FLOUR,Saint-Flour,Saint-Flour
161,16,75,16015,1,ANGOULEME,Angoulême,Angoulême
162,16,75,16102,0,COGNAC,Cognac,Cognac
163,16,75,16106,0,CONFOLENS,Confolens,Confolens
171,17,75,17197,0,JONZAC,Jonzac,Jonzac
172,17,75,17299,0,ROCHEFORT,Rochefort,Rochefort
173,17,75,17300,3,ROCHELLE,Rochelle,La Rochelle
174,17,75,17415,0,SAINTES,Saintes,Saintes
175,17,75,17347,0,SAINT JEAN D ANGELY,Saint-Jean-d'Angély,Saint-Jean-d'Angély
181,18,24,18033,0,BOURGES,Bourges,Bourges
182,18,24,18197,0,SAINT AMAND MONTROND,Saint-Amand-Montrond,Saint-Amand-Montrond
183,18,24,18279,0,VIERZON,Vierzon,Vierzon
191,19,75,19031,0,BRIVE LA GAILLARDE,Brive-la-Gaillarde,Brive-la-Gaillarde
192,19,75,19272,0,TULLE,Tulle,Tulle
193,19,75,19275,1,USSEL,Ussel,Ussel
211,21,27,21054,0,BEAUNE,Beaune,Beaune
212,21,27,21231,0,DIJON,Dijon,Dijon
213,21,27,21425,0,MONTBARD,Montbard,Montbard
221,22,53,22050,0,DINAN,Dinan,Dinan
222,22,53,22070,0,GUINGAMP,Guingamp,Guingamp
223,22,53,22113,0,LANNION,Lannion,Lannion
224,22,53,22278,0,SAINT BRIEUC,Saint-Brieuc,Saint-Brieuc
231,23,75,23008,1,AUBUSSON,Aubusson,Aubusson
232,23,75,23096,0,GUERET,Guéret,Guéret
241,24,75,24037,0,BERGERAC,Bergerac,Bergerac
242,24,75,24311,0,NONTRON,Nontron,Nontron
243,24,75,24322,0,PERIGUEUX,Périgueux,Périgueux
244,24,75,24520,0,SARLAT LA CANEDA,Sarlat-la-Canéda,Sarlat-la-Canéda
251,25,27,25056,0,BESANCON,Besançon,Besançon
252,25,27,25388,0,MONTBELIARD,Montbéliard,Montbéliard
253,25,27,25462,0,PONTARLIER,Pontarlier,Pontarlier
261,26,84,26113,0,DIE,Die,Die
262,26,84,26220,0,NYONS,Nyons,Nyons
263,26,84,26362,0,VALENCE,Valence,Valence
271,27,28,27016,4,ANDELYS,Andelys,Les Andelys
272,27,28,27056,0,BERNAY,Bernay,Bernay
273,27,28,27229,1,EVREUX,Évreux,Évreux
281,28,24,28085,0,CHARTRES,Chartres,Chartres
282,28,24,28088,0,CHATEAUDUN,Châteaudun,Châteaudun
283,28,24,28134,0,DREUX,Dreux,Dreux
284,28,24,28280,0,NOGENT LE ROTROU,Nogent-le-Rotrou,Nogent-le-Rotrou
291,29,53,29019,0,BREST,Brest,Brest
292,29,53,29026,0,CHATEAULIN,Châteaulin,Châteaulin
293,29,53,29151,0,MORLAIX,Morlaix,Morlaix
294,29,53,29232,0,QUIMPER,Quimper,Quimper
2A1,2A,94,2A004,1,AJACCIO,Ajaccio,Ajaccio
2A4,2A,94,2A272,0,SARTENE,Sartène,Sartène
2B2,2B,94,2B033,0,BASTIA,Bastia,Bastia
2B3,2B,94,2B096,0,CORTE,Corte,Corte
2B5,2B,94,2B050,0,CALVI,Calvi,Calvi
301,30,76,30007,1,ALES,Alès,Alès
302,30,76,30189,0,NIMES,Nîmes,Nîmes
303,30,76,30350,2,VIGAN,Vigan,Le Vigan
311,31,76,31395,0,MURET,Muret,Muret
312,31,76,31483,0,SAINT GAUDENS,Saint-Gaudens,Saint-Gaudens
313,31,76,31555,0,TOULOUSE,Toulouse,Toulouse
321,32,76,32013,1,AUCH,Auch,Auch
322,32,76,32107,0,CONDOM,Condom,Condom
323,32,76,32256,0,MIRANDE,Mirande,Mirande
331,33,75,33058,0,BLAYE,Blaye,Blaye
332,33,75,33063,0,BORDEAUX,Bordeaux,Bordeaux
333,33,75,33227,0,LANGON,Langon,Langon
334,33,75,33240,0,LESPARRE MEDOC,Lesparre-Médoc,Lesparre-Médoc
335,33,75,33243,0,LIBOURNE,Libourne,Libourne
336,33,75,33009,1,ARCACHON,Arcachon,Arcachon
341,34,76,34032,0,BEZIERS,Béziers,Béziers
342,34,76,34142,0,LODEVE,Lodève,Lodève
343,34,76,34172,0,MONTPELLIER,Montpellier,Montpellier
351,35,53,35115,0,FOUGERES VITRE,Fougères-Vitré,Fougères-Vitré
352,35,53,35236,0,REDON,Redon,Redon
353,35,53,35238,0,RENNES,Rennes,Rennes
354,35,53,35288,0,SAINT MALO,Saint-Malo,Saint-Malo
361,36,24,36018,2,BLANC,Blanc,Le Blanc
362,36,24,36044,0,CHATEAUROUX,Châteauroux,Châteauroux
363,36,24,36046,3,CHATRE,Châtre,La Châtre
364,36,24,36088,1,ISSOUDUN,Issoudun,Issoudun
371,37,24,37072,0,CHINON,Chinon,Chinon
372,37,24,37261,0,TOURS,Tours,Tours
373,37,24,37132,0,LOCHES,Loches,Loches
381,38,84,38185,0,GRENOBLE,Grenoble,Grenoble
382,38,84,38509,3,TOUR DU PIN,Tour-du-Pin,La Tour-du-Pin
383,38,84,38544,0,VIENNE,Vienne,Vienne
391,39,27,39198,0,DOLE,Dole,Dole
392,39,27,39300,0,LONS LE SAUNIER,Lons-le-Saunier,Lons-le-Saunier
393,39,27,39478,0,SAINT CLAUDE,Saint-Claude,Saint-Claude
401,40,75,40088,0,DAX,Dax,Dax
402,40,75,40192,0,MONT DE MARSAN,Mont-de-Marsan,Mont-de-Marsan
411,41,24,41018,0,BLOIS,Blois,Blois
412,41,24,41269,0,VENDOME,Vendôme,Vendôme
413,41,24,41194,0,ROMORANTIN LANTHENAY,Romorantin-Lanthenay,Romorantin-Lanthenay
421,42,84,42147,0,MONTBRISON,Montbrison,Montbrison
422,42,84,42187,0,ROANNE,Roanne,Roanne
423,42,84,42218,0,SAINT ETIENNE,Saint-Étienne,Saint-Étienne
431,43,84,43040,0,BRIOUDE,Brioude,Brioude
432,43,84,43157,2,PUY EN VELAY,Puy-en-Velay,Le Puy-en-Velay
433,43,84,43268,1,YSSINGEAUX,Yssingeaux,Yssingeaux
442,44,52,44109,0,NANTES,Nantes,Nantes
443,44,52,44184,0,SAINT NAZAIRE,Saint-Nazaire,Saint-Nazaire
445,44,52,44036,0,CHATEAUBRIANT ANCENIS,Châteaubriant-Ancenis,Châteaubriant-Ancenis
451,45,24,45208,0,MONTARGIS,Montargis,Montargis
452,45,24,45234,1,ORLEANS,Orléans,Orléans
453,45,24,45252,0,PITHIVIERS,Pithiviers,Pithiviers
461,46,76,46042,0,CAHORS,Cahors,Cahors
462,46,76,46102,0,FIGEAC,Figeac,Figeac
463,46,76,46127,0,GOURDON,Gourdon,Gourdon
471,47,75,47001,1,AGEN,Agen,Agen
472,47,75,47157,0,MARMANDE,Marmande,Marmande
473,47,75,47323,0,VILLENEUVE SUR LOT,Villeneuve-sur-Lot,Villeneuve-sur-Lot
474,47,75,47195,0,NERAC,Nérac,Nérac
481,48,76,48061,0,FLORAC,Florac,Florac
482,48,76,48095,0,MENDE,Mende,Mende
491,49,52,49007,1,ANGERS,Angers,Angers
492,49,52,49099,0,CHOLET,Cholet,Cholet
493,49,52,49328,0,SAUMUR,Saumur,Saumur
494,49,52,49331,0,SEGRE,Segré,Segré
501,50,28,50025,1,AVRANCHES,Avranches,Avranches
502,50,28,50129,0,CHERBOURG,Cherbourg,Cherbourg
503,50,28,50147,0,COUTANCES,Coutances,Coutances
504,50,28,50502,0,SAINT LO,Saint-Lô,Saint-Lô
511,51,44,51108,0,CHALONS EN CHAMPAGNE,Châlons-en-Champagne,Châlons-en-Champagne
512,51,44,51230,1,EPERNAY,Épernay,Épernay
513,51,44,51454,0,REIMS,Reims,Reims
514,51,44,51649,0,VITRY LE FRANCOIS,Vitry-le-François,Vitry-le-François
521,52,44,52121,0,CHAUMONT,Chaumont,Chaumont
522,52,44,52269,0,LANGRES,Langres,Langres
523,52,44,52448,0,SAINT DIZIER,Saint-Dizier,Saint-Dizier
531,53,52,53062,0,CHATEAU GONTIER,Château-Gontier,Château-Gontier
532,53,52,53130,0,LAVAL,Laval,Laval
