CODREG;REG;DEP;CODARR;CODCAN;CODCOM;COM;PMUN;PCAP;PTOT
06;;976;;;601;;5192;192;5384
06;;976;;;602;;13989;222;14211
06;;976;;;603;;10282;247;10529
06;;976;;;604;;6189;314;6503
06;;976;;;605;;8295;321;8616
06;;976;;;606;;8920;277;9197
06;;976;;;607;;15848;268;16116
06;;976;;;608;;17831;406;18237
06;;976;;;609;;5507;209;5716
06;;976;;;610;;32156;596;32752
06;;976;;;611;;71437;1537;72974
06;;976;;;612;;7705;320;8025
06;;976;;;613;;6432;154;6586
06;;976;;;614;;10203;190;10393
06;;976;;;615;;11442;360;11802
06;;976;;;616;;11156;463;11619
06;;976;;;617;;13934;301;14235
