MOD,DATE_EFF,TYPECOM_AV,COM_AV,TNCC_AV,NCC_AV,NCCENR_AV,LIBELLE_AV,TYPECOM_AP,COM_AP,TNCC_AP,NCC_AP,NCCENR_AP,LIBELLE_AP
32,2022-01-01,COM,02054,0,BAZOCHES SUR VESLES,Bazoches-sur-Vesles,Bazoches-sur-Vesles,COMD,02054,0,BAZOCHES SUR VESLES,Bazoches-sur-Vesles,Bazoches-sur-Vesles
32,2022-01-01,COM,02054,0,BAZOCHES SUR VESLES,Bazoches-sur-Vesles,Bazoches-sur-Vesles,COM,02054,0,BAZOCHES ET SAINT THIBAUT,Bazoches-et-Saint-Thibaut,Bazoches-et-Saint-Thibaut
32,2022-01-01,COM,02695,0,SAINT THIBAUT,Saint-Thibaut,Saint-Thibaut,COM,02054,0,BAZOCHES ET SAINT THIBAUT,Bazoches-et-Saint-Thibaut,Bazoches-et-Saint-Thibaut
32,2022-01-01,COM,02695,0,SAINT THIBAUT,Saint-Thibaut,Saint-Thibaut,COMD,02695,0,SAINT THIBAUT,Saint-Thibaut,Saint-Thibaut
10,2022-01-01,COM,09207,0,MONTGAILLARD,Montgaillard,Montgaillard,COM,09207,0,MONTGAILHARD,Montgailhard,Montgailhard
10,2022-01-01,COMD,14144,0,CAUMONT SUR ORNE,Caumont-sur-Orne,Caumont-sur-Orne,COM,14689,0,THURY HARCOURT LE HOM,Thury-Harcourt-le-Hom,Thury-Harcourt-le-Hom
10,2022-01-01,COMD,14213,0,CURCY SUR ORNE,Curcy-sur-Orne,Curcy-sur-Orne,COM,14689,0,THURY HARCOURT LE HOM,Thury-Harcourt-le-Hom,Thury-Harcourt-le-Hom
10,2022-01-01,COMD,14324,0,HAMARS,Hamars,Hamars,COM,14689,0,THURY HARCOURT LE HOM,Thury-Harcourt-le-Hom,Thury-Harcourt-le-Hom
10,2022-01-01,COMD,14628,0,SAINT MARTIN DE SALLEN,Saint-Martin-de-Sallen,Saint-Martin-de-Sallen,COM,14689,0,THURY HARCOURT LE HOM,Thury-Harcourt-le-Hom,Thury-Harcourt-le-Hom
10,2022-01-01,COM,14689,2,HOM,Hom,Le Hom,COMD,14628,0,SAINT MARTIN DE SALLEN,Saint-Martin-de-Sallen,Saint-Martin-de-Sallen
10,2022-01-01,COM,14689,2,HOM,Hom,Le Hom,COMD,14213,0,CURCY SUR ORNE,Curcy-sur-Orne,Curcy-sur-Orne
10,2022-01-01,COM,14689,2,HOM,Hom,Le Hom,COMD,14144,0,CAUMONT SUR ORNE,Caumont-sur-Orne,Caumont-sur-Orne
10,2022-01-01,COMD,14689,0,THURY HARCOURT,Thury-Harcourt,Thury-Harcourt,COM,14689,0,THURY HARCOURT LE HOM,Thury-Harcourt-le-Hom,Thury-Harcourt-le-Hom
10,2022-01-01,COM,14689,2,HOM,Hom,Le Hom,COMD,14324,0,HAMARS,Hamars,Hamars
10,2022-01-01,COM,14689,2,HOM,Hom,Le Hom,COM,14689,0,THURY HARCOURT LE HOM,Thury-Harcourt-le-Hom,Thury-Harcourt-le-Hom
10,2022-01-01,COM,14689,2,HOM,Hom,Le Hom,COMD,14689,0,THURY HARCOURT,Thury-Harcourt,Thury-Harcourt
32,2022-01-01,COM,16010,1,AMBLEVILLE,Ambleville,Ambleville,COMD,16010,1,AMBLEVILLE,Ambleville,Ambleville
32,2022-01-01,COM,16010,1,AMBLEVILLE,Ambleville,Ambleville,COM,16186,0,LIGNIERES AMBLEVILLE,Lignières-Ambleville,Lignières-Ambleville
32,2022-01-01,COM,16186,0,LIGNIERES SONNEVILLE,Lignières-Sonneville,Lignières-Sonneville,COM,16186,0,LIGNIERES AMBLEVILLE,Lignières-Ambleville,Lignières-Ambleville
32,2022-01-01,COM,16186,0,LIGNIERES SONNEVILLE,Lignières-Sonneville,Lignières-Sonneville,COMD,16186,0,LIGNIERES SONNEVILLE,Lignières-Sonneville,Lignières-Sonneville
32,2022-01-01,COM,19092,2,JARDIN,Jardin,Le Jardin,COM,19143,0,MONTAIGNAC SUR DOUSTRE,Montaignac-sur-Doustre,Montaignac-sur-Doustre
32,2022-01-01,COM,19143,0,MONTAIGNAC SAINT HIPPOLYTE,Montaignac-Saint-Hippolyte,Montaignac-Saint-Hippolyte,COM,19143,0,MONTAIGNAC SUR DOUSTRE,Montaignac-sur-Doustre,Montaignac-sur-Doustre
32,2022-01-01,COM,24089,0,CAZOULES,Cazoulès,Cazoulès,COM,24325,0,PECHS DE L ESPERANCE,Pechs-de-l'Espérance,Pechs-de-l'Espérance
32,2022-01-01,COM,24089,0,CAZOULES,Cazoulès,Cazoulès,COMD,24089,0,CAZOULES,Cazoulès,Cazoulès
32,2022-01-01,COM,24314,1,ORLIAGUET,Orliaguet,Orliaguet,COMD,24314,1,ORLIAGUET,Orliaguet,Orliaguet
32,2022-01-01,COM,24314,1,ORLIAGUET,Orliaguet,Orliaguet,COM,24325,0,PECHS DE L ESPERANCE,Pechs-de-l'Espérance,Pechs-de-l'Espérance
32,2022-01-01,COM,24325,0,PEYRILLAC ET MILLAC,Peyrillac-et-Millac,Peyrillac-et-Millac,COMD,24325,0,PEYRILLAC ET MILLAC,Peyrillac-et-Millac,Peyrillac-et-Millac
32,2022-01-01,COM,24325,0,PEYRILLAC ET MILLAC,Peyrillac-et-Millac,Peyrillac-et-Millac,COM,24325,0,PECHS DE L ESPERANCE,Pechs-de-l'Espérance,Pechs-de-l'Espérance
32,2022-01-01,COM,25134,0,CHATILLON SUR LISON,Châtillon-sur-Lison,Châtillon-sur-Lison,COM,25185,0,CUSSEY SUR LISON,Cussey-sur-Lison,Cussey-sur-Lison
32,2022-01-01,COM,25185,0,CUSSEY SUR LISON,Cussey-sur-Lison,Cussey-sur-Lison,COM,25185,0,CUSSEY SUR LISON,Cussey-sur-Lison,Cussey-sur-Lison
32,2022-01-01,COM,25375,0,MEREY SOUS MONTROND,Mérey-sous-Montrond,Mérey-sous-Montrond,COM,25375,4,MONTS RONDS,Monts-Ronds,Les Monts-Ronds
32,2022-01-01,COM,25628,0,VILLERS SOUS MONTROND,Villers-sous-Montrond,Villers-sous-Montrond,COM,25375,4,MONTS RONDS,Monts-Ronds,Les Monts-Ronds
32,2022-01-01,COM,26216,3,MOTTE DE GALAURE,Motte-de-Galaure,La Motte-de-Galaure,COM,26216,0,SAINT JEAN DE GALAURE,Saint-Jean-de-Galaure,Saint-Jean-de-Galaure
32,2022-01-01,COM,26216,3,MOTTE DE GALAURE,Motte-de-Galaure,La Motte-de-Galaure,COMD,26216,3,MOTTE DE GALAURE,Motte-de-Galaure,La Motte-de-Galaure
32,2022-01-01,COM,26219,0,MUREILS,Mureils,Mureils,COM,26216,0,SAINT JEAN DE GALAURE,Saint-Jean-de-Galaure,Saint-Jean-de-Galaure
32,2022-01-01,COM,26219,0,MUREILS,Mureils,Mureils,COMD,26219,0,MUREILS,Mureils,Mureils
34,2022-01-01,COMD,27447,1,ORVAUX,Orvaux,Orvaux,COM,27447,2,VAL DORE,Val-Doré,Le Val-Doré
34,2022-01-01,COM,27447,2,VAL DORE,Val-Doré,Le Val-Doré,COM,27447,2,VAL DORE,Val-Doré,Le Val-Doré
10,2022-01-01,COM,35329,0,SOUGEAL,Sougéal,Sougéal,COM,35329,0,SOUGEAL,Sougeal,Sougeal
10,2022-01-01,COM,40295,0,SAUGNACQ ET MURET,Saugnacq-et-Muret,Saugnacq-et-Muret,COM,40295,0,SAUGNAC ET MURET,Saugnac-et-Muret,Saugnac-et-Muret
10,2022-01-01,COM,47176,0,MONGAILLARD,Mongaillard,Mongaillard,COM,47176,0,MONTGAILLARD EN ALBRET,Montgaillard-en-Albret,Montgaillard-en-Albret
34,2022-01-01,COMD,50005,1,AMFREVILLE,Amfreville,Amfreville,COM,50400,0,PICAUVILLE,Picauville,Picauville
34,2022-01-01,COMD,50153,0,CRETTEVILLE,Cretteville,Cretteville,COM,50400,0,PICAUVILLE,Picauville,Picauville
34,2022-01-01,COMA,50201,0,GERVILLE LA FORET,Gerville-la-Forêt,Gerville-la-Forêt,COM,50629,0,VESLY,Vesly,Vesly
34,2022-01-01,COMD,50212,0,GOURBESVILLE,Gourbesville,Gourbesville,COM,50400,0,PICAUVILLE,Picauville,Picauville
34,2022-01-01,COMD,50250,1,HOUTTEVILLE,Houtteville,Houtteville,COM,50400,0,PICAUVILLE,Picauville,Picauville
34,2022-01-01,COMD,50333,4,MOITIERS EN BAUPTOIS,Moitiers-en-Bauptois,Les Moitiers-en-Bauptois,COM,50400,0,PICAUVILLE,Picauville,Picauville
34,2022-01-01,COMD,50400,0,PICAUVILLE,Picauville,Picauville,COM,50400,0,PICAUVILLE,Picauville,Picauville
34,2022-01-01,COM,50400,0,PICAUVILLE,Picauville,Picauville,COM,50400,0,PICAUVILLE,Picauville,Picauville
34,2022-01-01,COM,50629,0,VESLY,Vesly,Vesly,COM,50629,0,VESLY,Vesly,Vesly
34,2022-01-01,COMD,50642,0,VINDEFONTAINE,Vindefontaine,Vindefontaine,COM,50400,0,PICAUVILLE,Picauville,Picauville
10,2022-01-01,COM,55013,1,ARRANCY SUR CRUSNE,Arrancy-sur-Crusne,Arrancy-sur-Crusne,COM,55013,1,ARRANCY SUR CRUSNES,Arrancy-sur-Crusnes,Arrancy-sur-Crusnes
32,2022-01-01,COM,56049,0,CROIXANVEC,Croixanvec,Croixanvec,COM,56213,0,SAINT GERAND CROIXANVEC,Saint-Gérand-Croixanvec,Saint-Gérand-Croixanvec
32,2022-01-01,COM,56049,0,CROIXANVEC,Croixanvec,Croixanvec,COMD,56049,0,CROIXANVEC,Croixanvec,Croixanvec
32,2022-01-01,COM,56213,0,SAINT GERAND,Saint-Gérand,Saint-Gérand,COMD,56213,0,SAINT GERAND,Saint-Gérand,Saint-Gérand
32,2022-01-01,COM,56213,0,SAINT GERAND,Saint-Gérand,Saint-Gérand,COM,56213,0,SAINT GERAND CROIXANVEC,Saint-Gérand-Croixanvec,Saint-Gérand-Croixanvec
10,2022-01-01,COM,58251,0,SAINT LOUP,Saint-Loup,Saint-Loup,COM,58251,0,SAINT LOUP DES BOIS,Saint-Loup-des-Bois,Saint-Loup-des-Bois
10,2022-01-01,COM,64293,0,LABATUT,Labatut,Labatut,COM,64293,0,LABATUT FIGUIERES,Labatut-Figuières,Labatut-Figuières
10,2022-01-01,COM,66202,0,TARGASSONNE,Targassonne,Targassonne,COM,66202,0,TARGASONNE,Targasonne,Targasonne
10,2022-01-01,COM,72253,0,ROEZE SUR SARTHE,Roézé-sur-Sarthe,Roézé-sur-Sarthe,COM,72253,0,ROEZE SUR SARTHE,Roëzé-sur-Sarthe,Roëzé-sur-Sarthe
34,2022-01-01,COMD,78320,0,JEUFOSSE,Jeufosse,Jeufosse,COM,78320,0,NOTRE DAME DE LA MER,Notre-Dame-de-la-Mer,Notre-Dame-de-la-Mer
34,2022-01-01,COM,78320,0,NOTRE DAME DE LA MER,Notre-Dame-de-la-Mer,Notre-Dame-de-la-Mer,COM,78320,0,NOTRE DAME DE LA MER,Notre-Dame-de-la-Mer,Notre-Dame-de-la-Mer
34,2022-01-01,COMD,78503,0,PORT VILLEZ,Port-Villez,Port-Villez,COM,78320,0,NOTRE DAME DE LA MER,Notre-Dame-de-la-Mer,Notre-Dame-de-la-Mer
32,2022-01-01,COM,85001,5,AIGUILLON SUR MER,Aiguillon-sur-Mer,L'Aiguillon-sur-Mer,COMD,85001,5,AIGUILLON SUR MER,Aiguillon-sur-Mer,L'Aiguillon-sur-Mer
32,2022-01-01,COM,85001,5,AIGUILLON SUR MER,Aiguillon-sur-Mer,L'Aiguillon-sur-Mer,COM,85001,5,AIGUILLON LA PRESQU ILE,Aiguillon-la-Presqu'île,L'Aiguillon-la-Presqu'île
32,2022-01-01,COM,85307,3,FAUTE SUR MER,Faute-sur-Mer,La Faute-sur-Mer,COMD,85307,3,FAUTE SUR MER,Faute-sur-Mer,La Faute-sur-Mer
32,2022-01-01,COM,85307,3,FAUTE SUR MER,Faute-sur-Mer,La Faute-sur-Mer,COM,85001,5,AIGUILLON LA PRESQU ILE,Aiguillon-la-Presqu'île,L'Aiguillon-la-Presqu'île
10,2022-01-01,COMD,88204,0,GIRMONT,Girmont,Girmont,COM,88465,0,THAON LES VOSGES,Thaon-les-Vosges,Thaon-les-Vosges
10,2022-01-01,COMD,88337,1,ONCOURT,Oncourt,Oncourt,COM,88465,0,THAON LES VOSGES,Thaon-les-Vosges,Thaon-les-Vosges
10,2022-01-01,COM,88465,0,CAPAVENIR VOSGES,Capavenir Vosges,Capavenir Vosges,COMD,88204,0,GIRMONT,Girmont,Girmont
10,2022-01-01,COM,88465,0,CAPAVENIR VOSGES,Capavenir Vosges,Capavenir Vosges,COM,88465,0,THAON LES VOSGES,Thaon-les-Vosges,Thaon-les-Vosges
10,2022-01-01,COM,88465,0,CAPAVENIR VOSGES,Capavenir Vosges,Capavenir Vosges,COMD,88337,1,ONCOURT,Oncourt,Oncourt
10,2022-01-01,COM,88465,0,CAPAVENIR VOSGES,Capavenir Vosges,Capavenir Vosges,COMD,88465,0,THAON LES VOSGES,Thaon-les-Vosges,Thaon-les-Vosges
34,2021-12-31,COMD,50248,2,HOMMET D ARTHENAY,Hommet-d'Arthenay,Le Hommet-d'Arthenay,COM,50409,0,PONT HEBERT,Pont-Hébert,Pont-Hébert
34,2021-12-31,COM,50409,0,PONT HEBERT,Pont-Hébert,Pont-Hébert,COM,50409,0,PONT HEBERT,Pont-Hébert,Pont-Hébert
34,2021-03-15,COM,25078,0,BOUCLANS,Bouclans,Bouclans,COM,25078,0,BOUCLANS,Bouclans,Bouclans
34,2021-03-15,COMD,25587,0,VAUCHAMPS,Vauchamps,Vauchamps,COM,25078,0,BOUCLANS,Bouclans,Bouclans
34,2021-03-01,COMD,14075,0,BISSIERES,Bissières,Bissières,COM,14410,0,MERY BISSIERES EN AUGE,Méry-Bissières-en-Auge,Méry-Bissières-en-Auge
34,2021-03-01,COM,14410,0,MERY BISSIERES EN AUGE,Méry-Bissières-en-Auge,Méry-Bissières-en-Auge,COM,14410,0,MERY BISSIERES EN AUGE,Méry-Bissières-en-Auge,Méry-Bissières-en-Auge
34,2021-03-01,COMD,14410,0,MERY CORBON,Méry-Corbon,Méry-Corbon,COM,14410,0,MERY BISSIERES EN AUGE,Méry-Bissières-en-Auge,Méry-Bissières-en-Auge
34,2021-02-01,COM,23109,0,LINARD MALVAL,Linard-Malval,Linard-Malval,COM,23109,0,LINARD MALVAL,Linard-Malval,Linard-Malval
34,2021-02-01,COMD,23109,0,LINARD,Linard,Linard,COM,23109,0,LINARD MALVAL,Linard-Malval,Linard-Malval
34,2021-02-01,COMD,23121,0,MALVAL,Malval,Malval,COM,23109,0,LINARD MALVAL,Linard-Malval,Linard-Malval
34,2021-01-23,COM,27541,2,MESNIL SAINT JEAN,Mesnil-Saint-Jean,Le Mesnil-Saint-Jean,COM,27541,2,MESNIL SAINT JEAN,Mesnil-Saint-Jean,Le Mesnil-Saint-Jean
34,2021-01-23,COMD,27541,0,SAINT GEORGES DU MESNIL,Saint-Georges-du-Mesnil,Saint-Georges-du-Mesnil,COM,27541,2,MESNIL SAINT JEAN,Mesnil-Saint-Jean,Le Mesnil-Saint-Jean
34,2021-01-23,COMD,27551,0,SAINT JEAN DE LA LEQUERAYE,Saint-Jean-de-la-Léqueraye,Saint-Jean-de-la-Léqueraye,COM,27541,2,MESNIL SAINT JEAN,Mesnil-Saint-Jean,Le Mesnil-Saint-Jean
34,2021-01-01,COMD,14292,0,FRIARDEL,Friardel,Friardel,COM,14740,3,VESPIERE FRIARDEL,Vespière-Friardel,La Vespière-Friardel
34,2021-01-01,COMD,14740,3,VESPIERE,Vespière,La Vespière,COM,14740,3,VESPIERE FRIARDEL,Vespière-Friardel,La Vespière-Friardel
34,2021-01-01,COM,14740,3,VESPIERE FRIARDEL,Vespière-Friardel,La Vespière-Friardel,COM,14740,3,VESPIERE FRIARDEL,Vespière-Friardel,La Vespière-Friardel
32,2021-01-01,COM,16233,0,MOSNAC,Mosnac,Mosnac,COM,16233,0,MOSNAC SAINT SIMEUX,Mosnac-Saint-Simeux,Mosnac-Saint-Simeux
32,2021-01-01,COM,16233,0,MOSNAC,Mosnac,Mosnac,COMD,16233,0,MOSNAC,Mosnac,Mosnac
32,2021-01-01,COM,16351,0,SAINT SIMEUX,Saint-Simeux,Saint-Simeux,COMD,16351,0,SAINT SIMEUX,Saint-Simeux,Saint-Simeux
32,2021-01-01,COM,16351,0,SAINT SIMEUX,Saint-Simeux,Saint-Simeux,COM,16233,0,MOSNAC SAINT SIMEUX,Mosnac-Saint-Simeux,Mosnac-Saint-Simeux
34,2021-01-01,COMD,27058,0,BERNIERES SUR SEINE,Bernières-sur-Seine,Bernières-sur-Seine,COM,27058,4,TROIS LACS,Trois Lacs,Les Trois Lacs
34,2021-01-01,COM,27089,0,THENOUVILLE,Thénouville,Thénouville,COM,27089,0,THENOUVILLE,Thénouville,Thénouville
34,2021-01-01,COMD,27089,0,BOSC RENOULT EN ROUMOIS,Bosc-Renoult-en-Roumois,Bosc-Renoult-en-Roumois,COM,27089,0,THENOUVILLE,Thénouville,Thénouville
34,2021-01-01,COMD,27626,0,THEILLEMENT,Theillement,Theillement,COM,27089,0,THENOUVILLE,Thénouville,Thénouville
34,2021-01-01,COMD,27647,0,TOSNY,Tosny,Tosny,COM,27058,4,TROIS LACS,Trois Lacs,Les Trois Lacs
34,2021-01-01,COMD,27657,0,TOUVILLE,Touville,Touville,COM,27089,0,THENOUVILLE,Thénouville,Thénouville
34,2021-01-01,COMD,27676,0,VENABLES,Venables,Venables,COM,27058,4,TROIS LACS,Trois Lacs,Les Trois Lacs
